label,annotator_id,target,text,Race,Country,Religion,Gender
0,223,['Other'],"['thank', 'a', 'white', 'man', 'you', 'live', 'in', 'his', 'world', 'and', 'why', 'do', 'you', 'islanders', 'say', 'you', 'are', 'canadian', 'so', 'rude', 'really', 'if', 'i', 'lived', 'in', 'a', 'brown', 'country', 'even', 'with', 'citizenship', 'i', 'would', 'never', 'call', 'myself', 'ethiopian', 'chinese', 'indian', 'you', 'are', 'a', 'caribbean', 'living', 'in', 'canada']",Other,Spain,Nonreligious,Male
0,25,"['Disability', 'African', 'Homosexual']","['nigger', 'faggot', 'retard', 'beaner', 'dishwasher', 'time', 'to', 'see', 'if', 'i', 'get', 'ban']",Caucasian,Brazil,Nonreligious,Female
1,217,"['Men', 'Women']","['your', 'idea', 'of', 'compassion', 'is', 'allowing', 'kate', 'steinle', 'killer', 'go', 'free', 'that', 'not', 'compassion', 'it', 'a', 'mental', 'illness', 'let', 'be', 'compassionate', 'to', 'the', 'legal', 'citizens', 'of', 'this', 'country', 'stop', 'funding', 'illegal', 'immigrants', 'stop', 'encouraging', 'lawlessness', 'and', 'build', 'that', 'fucking', 'wall', 'maga', 'gabfam', 'news']",Caucasian,USA,Nonreligious,Male
1,247,['Caucasian'],"['why', 'don', '’', 't', 'white', 'boys', 'with', 'curly', 'hair', 'comb', 'it', 'looks', 'like', 'a', 'bird', '’', 'nest']",Caucasian,USA,Christian,Female
1,204,"['African', 'Jewish']","['<user>', 'yes', 'they', 'put', 'fear', 'in', 'black', 'people', 'jews', 'and', 'even', 'white', 'civil', 'rights', 'workers', 'and', 'they', 'deny', 'the', 'holocaust', 'ever', 'happened']",Hispanic,USA,Other,Female
1,1,['None'],"['they', 'playing', 'a', 'lot', 'of', 'ethnic', 'music', 'at', 'this', 'white', 'ass', 'wedding']",Caucasian,USA,Nonreligious,Female
0,210,"['Asian', 'Christian']","['that', 'a', 'retarded', 'non', 'argument', 'the', 'bible', 'is', 'also', 'a', 'best', 'seller', 'in', 'communist', 'china']",Hispanic,Brazil,Nonreligious,Female
1,203,['Refugee'],"['<user>', 'i', 'think', 'immigrants', 'should', 'replace', 'people', 'like', 'you']",Caucasian,USA,Nonreligious,Male
0,1,['African'],"['every', 'time', 'a', 'nigger', 'in', 'africa', 'gets', 'pregnant', 'abort', 'it', 'make', 'it', 'a', 'law', 'you', 'can', 'about', 'up', 'to', '<number>', 'years']",Caucasian,USA,Nonreligious,Female
0,3,['African'],"['nothing', 'royal', 'about', 'this', 'wedding', 'he', 'is', 'a', 'bastard', 'and', 'she', 'is', 'a', 'nignog', 'halfbreed', 'thot', 'and', 'a', 'divorced', 'catholic', 'to', 'boot', 'it', 'is', 'notable', 'that', 'both', 'the', 'father', 'of', 'the', 'bride', 'and', 'the', 'father', 'of', 'the', 'groom', 'did', 'not', 'attend']",Caucasian,USA,Nonreligious,Female
0,223,['Refugee'],"['diversity', 'is', 'a', 'code', 'word', 'for', 'white', 'genocide', 'immigrants', 'contribute', 'and', 'integrate', '3', 'rd', 'world', 'retards', 'freeload', 'and', 'fornicate']",Other,Spain,Nonreligious,Male
1,209,['Jewish'],"['im', 'literally', 'not', 'a', 'zionist', 'but', 'dear', 'lord', 'how', 'hard', 'is', 'it', 'to', 'just', 'recognize', 'that', 'people', 'just', 'genuinely', 'despise', 'jews']",Indian,India,Hindu,Male
2,212,"['Hindu', 'Islam']","['hindu', 'army', '’', 'disrespecting', 'islam', 'now', '🙄', 'acting', 'like', 'your', 'countries', 'don', '’', 't', 'mass', 'murder', 'them', 'on', 'a', 'bi', 'yearly', 'basis', 'stfu']",Caucasian,USA,Nonreligious,Female
0,228,['African'],"['stupid', 'nigger', 'given', 'grades', 'admissioin', 'to', 'school', 'job', 'degree', 'position', 'he', 'never', 'earned', 'and', 'doesnt', 'have', 'iq', 'for', 'fuck', 'off']",African,USA,Christian,Male
1,221,['African'],"['<user>', 'humor', 'negro', '😂', '😂', '😂', '😂', '😂']",Caucasian,USA,Christian,Male
1,209,['Refugee'],"['would', 'be', 'hilarious', 'if', 'the', 'un', 'building', 'was', 'turned', 'into', 'homeless', 'shelter', 'or', 'hell', 'why', 'not', 'a', 'refugee', 'center']",Indian,India,Hindu,Male
1,199,['Refugee'],"['i', 'am', 'confused', 'how', 'a', 'president', 'blocked', 'stimulus', 'checks', 'for', 'those', 'who', 'married', 'to', 'immigrants', 'while', 'he', 'himself', 'married', 'to', 'an', 'immigrant']",Caucasian,USA,Nonreligious,Female
0,209,"['Arab', 'Asian']","['how', 'pissed', 'are', 'you', 'if', 'you', 'are', 'japanese', 'chinese', 'korean', 'ya', 'know', 'real', 'asians', 'and', 'now', 'the', 'goat', 'fuckers', 'are', 'called', 'asian', 'too', 'to', 'avoid', 'calling', 'them', 'arabs']",Indian,India,Hindu,Male
0,216,"['African', 'Men']","['i', '’', 've', 'always', 'wanted', 'to', 'beat', 'up', 'a', 'nigga', 'in', 'front', 'of', 'his', 'child', 'so', 'the', 'child', 'can', 'grow', 'up', 'and', 'remember', 'it', 'forever']",Caucasian,USA,Christian,Male
2,215,"['Homosexual', 'Arab', 'Hispanic', 'Jewish']","['they', 'used', 'to', 'have', 'cracker', 'and', 'honky', 'now', 'they', 'have', 'antiracist', 'them', 'to', 'us', 'racist', 'us', 'and', 'nazi', 'does', 'this', 'mean', 'i', 'can', 'say', 'nigger', 'faggot', 'kike', 'sandnigger', 'and', 'spic', 'again', 'fuck', 'you', 'anti', 'white', 'scum', '😬']",Caucasian,USA,Nonreligious,Male
0,32,['African'],"['this', 'nigger', 'calling', 'me', 'juicy', 'lips', 'over', 'the', 'phone', 'wtf']",Caucasian,USA,Christian,Female
0,96,['African'],"['a', 'nigger', 'bich', 'will', 'never', 'have', 'strait', 'hair', 'so', 'keep', 'wearing', 'dat', 'horsehair', 'weave']",African,USA,Christian,Female
0,7,['African'],"['apparently', 'some', 'vile', 'nigger', 'animals', 'kidnapped', 'a', 'white', 'special', 'needs', 'teen', 'and', 'tortured', 'and', 'scalped', 'him', 'while', 'shouting', 'fuck', 'white', 'people', 'fuck', 'trump', 'are', 'you', 'being', 'armed', 'and', 'are', 'you', 'shooting', 'in', 'the', 'head', 'when', 'these', 'zombies', 'approach']",Caucasian,USA,Nonreligious,Male
0,18,['African'],"['<user>', 'you', 'need', 'potassium', 'eat', 'a', 'banana', 'you', 'fucking', 'nigger']",Hispanic,Brazil,Other,Prefer not to disclose
0,83,"['African', 'Homosexual']","['well', 'then', 'send', 'some', 'coon', 'estrogen', 'to', 'my', 'wife', 'she', 'turning', 'more', 'liberal', 'breath', 'by', 'breath', 'due', 'to', 'fake', 'news', 'i', 'do', 'not', 'know', 'how', 'much', 'more', 'i', 'can', 'take', 'hell', 'between', 'her', 'and', 'my', 'two', 'daughters', 'hormones', 'i', 'have', 'started', 'growing', 'breast', 'tissue', 'like', 'pseudo', 'naturally', 'becoming', 'bruce', 'jenner']",Hispanic,USA,Christian,Female
0,209,"['Hindu', 'Islam']","['it', 'high', 'time', 'we', 'hindus', 'should', 'think', 'that', 'these', 'filthy', 'muslims', 'should', 'be', 'allowed', 'to', 'live', 'here', 'or', 'not', 'kamleshtiwari', 'ypg', 'yourprophetisgay']",Indian,India,Hindu,Male
1,222,['Refugee'],"['<user>', 'why', 'should', 'you', 'ban', 'immigrants', 'from', 'operating', 'small', 'business', 'every', 'business', 'start', 'somewhere', 'and', 'tomorrow', 'that', 'will', 'give', 'people', 'job']",Caucasian,Canada,Nonreligious,Female
2,204,['Homosexual'],"['i', 'am', 'sure', 'you', 'are', 'totally', 'the', 'alpha', 'faggot', 'at', 'the', 'standard', 'fuckparties']",Hispanic,USA,Other,Female
2,202,['Homosexual'],"['<user>', 'aint', 'he', 'bisexual', 'an', 'lgbt', 'king', 'of', 'gays', 'even', 'his', 'mind']",Hispanic,Italy,Nonreligious,Male
2,1,['Homosexual'],"['you', 'insecure', 'lowlife', 'broke', 'ass', 'desperate', 'woman', 'beating', 'momma', 'boy', 'ass', 'niggas', 'are', 'fucking', 'sick', 'get', 'a', 'grip', 'on', 'reality', 'hoe', 'dumbass', 'dykes']",Caucasian,USA,Nonreligious,Female
0,108,"['Men', 'Minority', 'Indigenous', 'African', 'Christian', 'Heterosexual']","['i', 'guess', 'this', 'nigger', 'and', 'his', 'mudshark', 'are', 'unaware', 'of', 'the', 'merchant', 'this', 'is', 'some', 'hilarious', 'trolling']",Caucasian,USA,Christian,Male
2,209,"['Heterosexual', 'Homosexual']","['diac', 'detention', 'center', 'is', 'correspond', 'to', 'the', 'same', 'place', 'equally', 'in', 'the', 'transgender', 'and', 'heterosexuals', 'also', 'gay', 'diac']",Indian,India,Hindu,Male
2,202,"['Arab', 'Hindu', 'Islam']","['<user>', 'agree', 'with', 'ananya', 'baby', 'every', 'hindu', 'muslim', 'sikh', 'isai', 'should', 'travel', 'in', 'economy', 'class', 'sonam', 'kapoor']",Hispanic,Italy,Nonreligious,Male
2,204,['Homosexual'],"['hilarious', 'insult', 'i', 'just', 'saw', 'on', 'pol', 'if', 'i', 'had', 'a', 'satoshi', 'for', 'every', 'time', 'you', 'shills', 'shitposters', 'made', 'a', 'dumb', 'frankpost', 'i', 'would', 'be', 'able', 'to', 'afford', 'a', 'helicopter', 'off', 'the', 'deep', 'web', 'and', 'throw', 'each', 'and', 'every', 'one', 'of', 'you', 'insufferable', 'faggots', 'off', 'into', 'the', 'middle', 'of', 'the', 'ocean']",Hispanic,USA,Other,Female
2,209,"['Homosexual', 'Women']","['i', '’', 'm', 'gay', 'so', 'if', 'my', 'man', 'flirting', 'or', 'cheating', 'with', 'a', 'bitch', 'i', 'think', 'is', 'ugly', 'he', '’', 'bugging', 'lmao']",Indian,India,Hindu,Male
2,223,['Homosexual'],"['amaka', 'so', 'you', 'are', 'now', 'in', 'a', 'man', 'house', 'because', 'of', 'foodstuffs', 'you', 'are', 'no', 'longer', 'lesbian']",Other,Spain,Nonreligious,Male
2,52,['Homosexual'],"['subtly', 'homophobic', 'news', 'story', 'this', 'child', 'is', 'gay', 'twitter', 'influencer', 'who', 'still', 'shits', 'himself', 'thoughts', '😳', '🤔', 'mike', 'pence', 'himself', 'i', 'like', 'gays', 'and', 'even', 'have', 'a', 'faggot', 'friend', 'but', 'this', 'is', 'too', 'much']",Hispanic,USA,Other,Male
0,10,['African'],"['the', 'nigger', 'is', 'a', 'true', 'snake', 'charmer']",Caucasian,Turkey,Nonreligious,Male
0,25,['Homosexual'],"['they', 'all', 'look', 'like', 'dykes', 'too', 'i', 'am', 'sure', 'that', 'just', 'a', 'coincidence']",Caucasian,Brazil,Nonreligious,Female
0,66,['African'],"['ben', 'is', 'cool', 'but', 'he', 'is', 'still', 'a', 'nigger']",Caucasian,USA,Nonreligious,Male
0,205,['African'],"['imagine', 'the', 'riots', 'if', 'people', 'actually', 'got', 'food', 'boxes', 'instead', 'of', 'ebt', 'cards', 'every', 'ghetto', 'in', 'america', 'would', 'look', 'like', 'ferguson']",African,USA,Nonreligious,Male
0,223,['Caucasian'],"['first', 'save', 'your', 'white', 'bitches', 'from', 'sucking', 'so', 'many', 'black', 'cocks', 'and', 'giving', 'birth', 'to', 'mixed', 'babies', 'i', 'am', 'not', 'the', 'one', 'threatening', 'your', 'existence', 'you', 'retarded', 'degenerate']",Other,Spain,Nonreligious,Male
0,68,['Homosexual'],"['i', 'think', 'it', 'worse', 'than', 'that', 'it', 'is', 'almost', 'like', 'the', 'campaign', 'to', 'legalise', 'homosexuality', 'in', 'the', 'early', '<number>', 'they', 'are', 'wanting', 'to', 'make', 'it', 'normal', 'it', 'only', 'took', 'the', 'queers', 'until', 'about', '<number>']",Caucasian,Canada,Nonreligious,Male
0,217,"['Homosexual', 'African', 'Men', 'Women']","['nigger', 'males', 'are', 'faggots', 'on', 'the', 'down', 'low', 'another', 'reason', 'why', 'aids', 'figures', 'so', 'prominently', 'in', 'their', 'ethnic', 'grouping', 'only', 'the', 'least', 'desirable', 'of', 'white', 'women', 'settle', 'for', 'muh', 'dick', 'these', 'women', 'have', 'either', 'low', 'self', 'esteem', 'daddy', 'issues', 'and', 'or', 'low', 'iq', 'a', 'deadly', 'combination', 'for', 'white', 'women', '<user>']",Caucasian,USA,Nonreligious,Male
0,205,['African'],"['ah', 'k', 'white', 'nationalism', 'is', 'perfect', 'and', 'infallible', 'and', 'you', 'are', 'a', 'cuck', 'faggot', 'who', 'takes', 'it', 'up', 'the', 'ass', 'from', 'blacks', 'if', 'you', 'disagree', 'in', 'any', 'way', 'that', 'seems', 'to', 'cover', 'it']",African,USA,Nonreligious,Male
0,176,"['Women', 'African']","['lol', 'trump', 'is', 'gutting', 'that', 'nigger', 'bitch', 'like', 'a', 'carp']",Caucasian,United Arab Emirates,Christian,Female
2,212,"['Hispanic', 'Islam', 'Refugee']","['ann', 'coulter', '<user>', 'this', 'daily', 'trump', 'melodrama', 'is', 'worth', 'it', 'only', 'if', 'he', 'really', 'going', 'to', 'build', 'the', 'wall', 'cut', 'off', 'muslim', 'refugees', 'and', 'deport', 'illegals']",Caucasian,USA,Nonreligious,Female
2,209,"['African', 'Hispanic', 'Women']","['because', 'british', 'men', 'are', 'cuckolds', 'and', 'too', 'cowardly', 'to', 'do', 'what', 'needed', 'it', 'quite', 'pathetic', 'if', 'that', 'happened', 'to', 'my', 'daughter', 'or', 'sister', 'there', 'd', 'be', 'a', 'tribes', 'worth', 'of', 'sand', 'niggers', 'finding', 'out', 'there', 'no', 'virgins', 'waiting', 'for', 'them']",Indian,India,Hindu,Male
1,205,"['Arab', 'Caucasian']","['<user>', 'what', 'about', 'us', 'white', 'arabs']",African,USA,Nonreligious,Male
0,9,"['Women', 'African']","['bitch', 'you', 'white', 'nigga', 'is', 'a', 'faggot', 'your', 'kids', 'are', 'demon', 'possessed', 'over', 'blk', 'ppl', 'your', 'pussy', 'is', 'worthless', 'you', 'are', 'a', 'whore', 'you', 'and', 'ur', 'household', 'all', 'suck', 'the', 'same', 'dick', 'you', 'are', 'jealous', 'of', 'innocent', 'blk', 'ppl', 'you', 'are', 'a', 'squatter', 'in', 'blk', 'neighborhoods', 'you', 'are', 'jealous', 'of', 'jesus', 'ur', 'disgusting']",Indian,India,Hindu,Male
2,207,['Caucasian'],"['intense', 'white', 'male', 'listening', 'is', 'just', 'as', 'threatening', 'and', 'violent', 'as', 'the', 'white', 'male', 'gaze', 'stop', 'listening', 'at', 'us']",Caucasian,USA,Christian,Male
2,209,"['African', 'Hispanic', 'Islam']","['oh', 'we', 'got', 'somebody', 'trying', 'to', 'defend', 'the', 'murderous', 'negro', 'community', 'and', 'the', 'drug', 'dealing', 'hispanic', 'community', 'you', 'are', 'also', 'defending', 'those', 'mongrels', 'the', 'islam', 'they', 'say', 'white', 'people', 'are', 'all', 'racist', 'and', 'we', 'can', 'only', 'be', 'racist', 'then', 'their', 'stereotype', 'apply', 'as', 'well']",Indian,India,Hindu,Male
0,25,['Islam'],"['the', 'attention', 'whore', 'will', 'kill', 'canadians', 'just', 'to', 'gain', 'a', 'seat', 'on', 'the', 'moslem', 'run', 'un']",Caucasian,Brazil,Nonreligious,Female
2,199,"['African', 'Asian', 'Hispanic']","['i', 'have', 'nothing', 'against', 'blacks', 'asians', 'hispanics', 'mixed', 'but', 'if', 'you', 'include', 'them', 'in', 'movies', 'or', 'video', 'games', 'it', 'forced', 'diversity', '😡', '😡', '😡', '😡']",Caucasian,USA,Nonreligious,Female
0,209,"['Islam', 'Women']","['bare', 'naked', 'islam', 'brought', 'to', 'you', 'by', 'the', 'bare', 'naked', 'ladies']",Indian,India,Hindu,Male
0,204,"['Homosexual', 'Women']","['<user>', 'oh', 'and', 'there', 'the', 'gay', 'rainbow', 'flag', 'these', 'are', 'not', 'women', 'they', 'are', 'mostly', 'lesbians', 'irrelevant', 'termagants', 'with', 'empty', 'wombs']",Hispanic,USA,Other,Female
0,2,['None'],"['you', 'was', 'supposed', 'to', 'be', 'my', 'bestfriend', 'like', 'yanno', 'someone', 'i', 'could', 'vent', 'to', 'spend', 'time', 'with', 'share', 'secrets', 'with', 'type', 'shit', 'someone', 'i', 'can', 'call', 'on', 'and', 'they', 'be', 'there', 'when', 'i', 'need', 'em', 'but', 'bitch', 'you', 'only', 'hmu', 'for', 'one', 'thang', 'fuck', 'youu', '🖕', '🏽', 'fuckin', 'faggot']",Arabs,Germany,Islam,Female
0,210,['Caucasian'],"['that', 'sound', 'you', 'hear', 'in', 'the', 'distance', 'is', 'the', '2', 'nd', 'civil', 'war', 'approaching', 'texas', 'state', 'student', 'paper', 'ran', 'a', 'pro', 'white', 'genocide', 'article', 'ontologically', 'speaking', 'white', 'death', 'will', 'mean', 'liberation', 'for', 'all', '…', 'until', 'then', 'remember', 'this', 'i', 'hate', 'you', 'because', 'you', 'should', 'not', 'exist']",Hispanic,Brazil,Nonreligious,Female
1,202,['Other'],"['meanwhile', 'little', 'girls', 'are', 'sold', 'in', 'refugee', 'camps', 'where', 'imported', 'men', 'then', 'claim', 'to', 'be', 'their', 'fathers', 'they', 'are', 'only', 'raped', 'and', 'subjected', 'to', 'fgm', 'and', 'slavery', 'but', 'dare', '<user>', 'find', 'a', 'moral', 'obligation', 'to', 'call', 'that', 'out', 'and', 'strike', 'against', 'it', 'why', 'do', 'not', 'those', 'children', 'matter', 'enough']",Hispanic,Italy,Nonreligious,Male
0,25,"['African', 'Homosexual']","['what', 'a', 'fucking', 'nigger', 'fag', 'pantload', 'i', 'wonder', 'who', 'actually', 'wrote', 'that', 'for', 'this', 'affirmative', 'action', 'push', 'along', 'toy']",Caucasian,Brazil,Nonreligious,Female
0,9,['Asian'],"['only', 'when', 'middle', 'school', 'girls', 'drive', 'dykes', 'to', 'the', 'nuthouse', 'underage', 'shitskin', 'rapists', 'get', 'their', 'ids', 'protected']",Indian,India,Hindu,Male
2,230,"['Asian', 'Jewish']","['based', 'hot', 'jew', 'andrew', 'mix', 'with', 'asians', 'anglin']",Caucasian,USA,Nonreligious,Female
0,225,['Homosexual'],"['it', 'true', '<user>', '\u200d', 'is', 'a', 'faggot', '🙂']",Caucasian,USA,Nonreligious,Male
2,205,['Asian'],"['<user>', 'there', 'does', 'seem', 'to', 'be', 'an', 'uncanny', 'similarity', 'between', 'the', 'current', 'usual', 'suspects', 'and', 'previous', '‘', 'asians', '’']",African,USA,Nonreligious,Male
0,9,"['Women', 'Homosexual']","['ugly', 'commie', 'bull', 'dyke', 'cunt']",Indian,India,Hindu,Male
2,37,['Disability'],"['stumptown', 'is', 'a', 'shit', 'show', 'the', 'writers', 'are', 'retarded', 'the', 'story', 'is', 'boring', 'it', 'is', 'a', 'total', 'waste', 'of', 'its', 'fantastic', 'cast']",Other,USA,Nonreligious,Male
2,13,['Hispanic'],"['so', 'i', 'posted', 'on', 'craigslist', 'rnr', 'wondering', 'why', 'there', 'were', 'so', 'many', 'beaners', 'in', 'this', 'town', 'and', 'i', 'get', 'this', 'as', 'a', 'response', 'i', 'knew', 'there', 'were', 'illiterates', 'out', 'there', 'but', 'this', 'one', 'is', 'ridiculous']",Caucasian,USA,Christian,Female
0,9,"['Jewish', 'Homosexual']","['wow', 'go', 'figure', 'once', 'again', 'the', 'placed', 'crowd', 'at', 'new', 'year', 'rockin', 'eve', 'is', 'mainly', 'chinks', 'niggers', 'beaners', 'muslims', 'kikes', 'dykes', 'faggots', 'and', 'chicks', 'with', 'dicks']",Indian,India,Hindu,Male
1,225,['Caucasian'],"['<user>', 'tell', 'us', 'first', 'who', 'are', 'these', 'white', 'supremacists', 'how', 'do', 'we', 'know', 'that', 'you', 'are', 'not', 'one', 'of', 'them']",Caucasian,USA,Nonreligious,Male
0,3,"['Jewish', 'Homosexual']","['the', 'kike', 'shill', 'psyop', 'ricky', 'vaughn', 'has', 'deleted', 'his', 'post', 'where', 'he', 'stated', 'white', 'identity', 'does', 'not', 'exist', 'so', 'i', 'will', 'post', 'the', 'screen', 'shot', 'here', 'now', 'ask', 'ricky', 'tkr', 'get', 'gassed', 'faggot']",Caucasian,USA,Nonreligious,Female
1,223,['Refugee'],"['worst', 'case', 'he', 'looking', 'at', 'a', 'path', 'to', 'citizenship', 'for', 'the', 'ones', 'who', 'are', 'not', 'violent', 'felons', 'and', 'who', 'meet', 'the', 'criteria', 'that', 'would', 'entitle', 'a', 'legal', 'immigrant', 'to', 'be', 'here', 'under', 'a', 'merit', 'based', 'system', '<number>', '<number>']",Other,Spain,Nonreligious,Male
2,202,"['Homosexual', 'Other']","['i', 'wonder', 'what', 'the', 'faggot', '<user>', 'has', 'been', 'up', 'to', 'in', 'norway']",Hispanic,Italy,Nonreligious,Male
2,204,['Homosexual'],"['fuck', 'you', 'and', 'your', 'horseshoe', 'faggot']",Hispanic,USA,Other,Female
0,70,"['Other', 'Minority', 'Other', 'African', 'Nonreligious', 'Other']","['this', 'is', 'atrocious', 'fuck', 'this', 'nigger', 'bitch']",Caucasian,USA,Nonreligious,Female
2,203,['Asian'],"['how', 'dafuk', 'a', 'ching', 'chong', 'gone', 'deliver', 'mah', 'food', 'wit', 'all', 'dis', 'snow', 'out', 'heah', 'shiet', 'nigga', 'best', 'brang', 'mah', 'food']",Caucasian,USA,Nonreligious,Male
2,208,"['Homosexual', 'Jewish']","['better', 'call', 'the', 'anti', 'defamation', 'league', 'you', 'gay', 'jew', 'faggot']",Caucasian,Italy,Nonreligious,Male
0,23,"['Jewish', 'Homosexual']","['hell', 'yeah', 'proof', 'that', 'the', 'anti', 'q', 'trolls', 'here', 'are', 'fake', 'alt', 'right', 'kike', 'dick', 'suckers']",Caucasian,USA,Nonreligious,Male
0,228,"['Homosexual', 'African']","['nice', 'ghetto', 'rims', 'faggot']",African,USA,Christian,Male
2,202,['Other'],"['somebody', 'posted', 'a', 'dick', 'pic', 'to', 'this', 'account', 'i', 'knee', 'jerk', 'muted', 'them', 'but', 'am', 'un', 'muting', 'them', 'as', 'they', 'were', 'complaining', 'about', 'gay', 'porn', 'on', 'twitter', 'hoping', 'that', 'they', 'were', 'intoxicated', 'and', 'think', 'better', 'of', 'the', 'post', 'and', 'delete', 'it']",Hispanic,Italy,Nonreligious,Male
0,16,['Caucasian'],"['bro', 'i', 'swear', 'to', 'god', 'i', 'fucking', 'hate', 'white', 'girls', 'you', 'little', 'ugly', 'ass', 'maggots']",Caucasian,USA,Christian,Male
0,108,"['Men', 'Minority', 'Indigenous', 'Caucasian', 'Jewish', 'Homosexual']","['be', 'good', 'for', 'you', 'to', 'knock', 'off', 'promoting', 'the', 'fictional', 'kike', 'faggot', 'jesus', 'christ', 'insanity', 'perversion', 'in', 'general']",Caucasian,USA,Christian,Male
1,201,"['African', 'Caucasian', 'Islam']","['omfg', 'they', 'are', 'still', 'repeating', 'the', 'fake', 'news', 'that', 'the', 'killer', 'was', 'a', 'white', 'supremacist', '🤣', '<user>', '\u200d', 'he', 'hurled', 'slurs', 'at', 'blacks', 'and', 'muslims', 'and', 'according', 'to', 'the', 'anti', 'defamation', 'league', 'had', 'ties', 'to', 'white', 'supremacists']",Caucasian,France,Christian,Male
